,Unnamed: 0,DATA SCIENCE,SOFTWARE DEV,NETWORKS,DATABASES,CLOUD DEV,WEB DESIGN,AUTOMATIONS,SECURITY/CYBERSECURITY,INFORMATION TECH,DEBUGGER
0,COUNT,124,173,58,21,55,104,33,187,79,49
1,MISSED DATA,100,225,66,153,119,915,91,261,319,299
