,DATA,SOFTWARE,NETWORK,DATABASE,CLOUD,WEB,AUTOMATION,SECURITY,UI,UX,IT,BACKEND,FRONTEND,INFORMATION TECHNOLOGY,DESIGN DEVELOPER,CYBERSECURITY,DEBUG,SOLUTIONS
COUNT,124,155,58,21,55,24,33,180,24,28,61,18,24,18,4,7,7,42
MISSED DATA,100,119,66,153,119,250,91,94,100,96,163,106,199,156,270,167,167,132
